consignor_import_key,first_name,last_name,phone,email,address,city,province,postal_code,date_joined,commission_pct,unsold_preference,consignor_notes,item_import_key,item_description,price,category,brand,size,condition,item_notes,status,sale_price,sale_date,payout_status
justin-smith-1001,Justin,Smith,905-555-1001,justin.smith@example.com,101 Main St,Grimsby,Ontario,L8E 1A1,2026-07-02,50,Donate,,justin-smith-1001-001,Novel,100,Books,Wheels,M,New with tags,,Available,,,
justin-smith-1001,Justin,Smith,905-555-1001,justin.smith@example.com,101 Main St,Burlington,Ontario,L8E 1A1,2026-07-02,50,Donate,,justin-smith-1001-002,Tablet,75,Electronics,IKEA,3-6m,Fair,,Available,,,
justin-smith-1001,Justin,Smith,905-555-1001,justin.smith@example.com,101 Main St,Hamilton,Ontario,L8E 1A1,2026-07-02,50,Donate,,justin-smith-1001-003,Winter Coat,25,Clothing,Carter's,,Fair,,Available,,,
justin-smith-1001,Justin,Smith,905-555-1001,justin.smith@example.com,101 Main St,Stoney Creek,Ontario,L8E 1A1,2026-07-02,50,Contact consignor,,justin-smith-1001-004,Headphones,25,Electronics,Carter's,,Like new,,Available,,,
justin-smith-1001,Justin,Smith,905-555-1001,justin.smith@example.com,101 Main St,Stoney Creek,Ontario,L8E 1A1,2026-07-02,50,Please return,,justin-smith-1001-005,Dress,25,Clothing,Nike,3-6m,Fair,,Available,,,
jane-brown-1002,Jane,Brown,905-555-1002,jane.brown@example.com,102 Main St,Grimsby,Ontario,L8E 2A2,2026-07-03,50,Donate,,jane-brown-1002-001,Ring,10,Jewellery,Adidas,3-6m,Like new,,Sold,10,2026-08-02,Unpaid
jane-brown-1002,Jane,Brown,905-555-1002,jane.brown@example.com,102 Main St,Stoney Creek,Ontario,L8E 2A2,2026-07-03,50,Contact consignor,,jane-brown-1002-002,Novel,30,Books,Nike,M,Like new,,Sold,30,2026-08-03,Unpaid
jane-brown-1002,Jane,Brown,905-555-1002,jane.brown@example.com,102 Main St,Hamilton,Ontario,L8E 2A2,2026-07-03,50,Please return,,jane-brown-1002-003,Bluetooth Speaker,100,Electronics,Fisher-Price,L,Fair,,Available,,,
jane-brown-1002,Jane,Brown,905-555-1002,jane.brown@example.com,102 Main St,Grimsby,Ontario,L8E 2A2,2026-07-03,50,Contact consignor,,jane-brown-1002-004,Dress,100,Clothing,Gap,S,New with tags,,Available,,,
michael-wilson-1003,Michael,Wilson,905-555-1003,michael.wilson@example.com,103 Main St,Burlington,Ontario,L8E 3A3,2026-07-04,40,Please return,,michael-wilson-1003-001,RC Car,50,Toys,Gap,6-12m,Fair,,Available,,,
michael-wilson-1003,Michael,Wilson,905-555-1003,michael.wilson@example.com,103 Main St,Stoney Creek,Ontario,L8E 3A3,2026-07-04,40,Donate,,michael-wilson-1003-002,Dress,30,Clothing,IKEA,L,Good,,Available,,,
